City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
206,puerto aysen,-45.4,-72.7,16.37,76,94,3.12,CL,1701114062
207,akureyri,65.6835,-18.0878,0.96,93,0,2.57,IS,1701114062
208,blackfoot,43.1905,-112.345,0.4,67,9,1.07,US,1701114062
209,mossel bay,-34.1831,22.146,18.82,76,0,1.66,ZA,1701114062
210,peniche,39.3558,-9.3811,16.27,91,100,2.59,PT,1701114062
211,igarka,67.4667,86.5833,-20.5,97,95,4.77,RU,1701114062
212,lucas,41.6501,-83.6666,-1.62,65,100,6.69,US,1701114062
213,madang,-5.2246,145.7966,24.28,89,94,1.82,PG,1701113840
214,tauranga,-37.6861,176.1667,17.19,83,51,1.34,NZ,1701114062
215,labuan bajo,-8.4964,119.8877,25.7,85,100,3.13,ID,1701114062
216,lamu,-2.2717,40.902,24.12,82,94,1.99,KE,1701114062
217,hilo,19.7297,-155.09,26.27,87,20,2.24,US,1701114062
218,badiyah,22.45,58.8,21.87,62,0,2.3,OM,1701114062
219,broken hill,-31.95,141.4333,18.06,81,52,4.53,AU,1701114063
220,antsiranana,-12.2787,49.2917,25.11,74,75,5.29,MG,1701113945
221,fort bragg,35.139,-79.006,15.08,39,0,6.69,US,1701114063
222,praia da vitoria,38.7333,-27.0667,18.75,88,40,2.78,PT,1701114063
223,qaqortoq,60.7167,-46.0333,-13.32,73,7,3.98,GL,1701114063
224,isafjordur,66.0755,-23.124,2.79,92,100,2.53,IS,1701114063
225,smithers,54.7804,-127.1743,0.18,80,75,2.57,CA,1701114063
226,ardmore,34.1743,-97.1436,12.14,37,0,4.12,US,1701114063
227,mitu,1.1983,-70.1733,28.37,85,43,0.87,CO,1701114063
228,isangel,-19.55,169.2667,25.06,73,75,3.09,VU,1701114063
229,cill airne,52.05,-9.5167,5.22,88,89,2.54,IE,1701114063
230,satuek,15.297,103.2919,20.59,66,49,5.71,TH,1701114063
231,yoro,15.1333,-87.1333,29.29,61,40,2.06,HN,1701114064
232,jamestown,42.097,-79.2353,0.01,78,100,9.26,US,1701114064
233,kachug,53.9606,105.8817,-19.7,98,93,1.38,RU,1701114064
234,veraval,20.9,70.3667,22.8,72,0,4.95,IN,1701114064
235,misratah,32.3754,15.0925,18.56,43,28,6.21,LY,1701114064
236,qarazhal,48.0078,70.7903,5.11,54,100,4.04,KZ,1701114064
237,kualakapuas,-3.0091,114.3876,24.11,95,99,0.3,ID,1701114064
238,soio,-6.1349,12.3689,25.81,86,100,2.84,AO,1701114064
239,sitangkai,4.6628,119.3928,27.33,79,100,2.33,PH,1701114064
240,dampit,-8.2116,112.7493,21.76,94,100,0.74,ID,1701114064
241,galveston,29.3669,-94.9669,15.05,53,0,6.17,US,1701114065
242,hasaki,35.7333,140.8333,15.22,79,22,9.88,JP,1701114065
243,labytnangi,66.6572,66.4183,-16.03,96,100,1.52,RU,1701114065
244,hadibu,12.65,54.0333,25.91,66,93,4.94,YE,1701114065
245,kailua-kona,19.6406,-155.9956,26.95,78,100,3.09,US,1701114065
246,howrah,22.5892,88.3103,23.0,73,75,0.0,IN,1701114065
247,maintirano,-18.0667,44.0167,27.53,77,16,5.15,MG,1701114065
248,urangan,-25.3,152.9,21.16,91,100,3.41,AU,1701114065
249,east ballina,-28.8667,153.5833,19.89,84,100,1.48,AU,1701114065
250,nizhneudinsk,54.9076,99.0276,-18.28,99,61,0.72,RU,1701114065
251,moscow,55.7522,37.6156,0.25,91,100,7.45,RU,1701113832
252,port lincoln,-34.7333,135.8667,13.22,91,100,8.84,AU,1701113918
253,bowen,-20.0167,148.2333,24.97,85,100,1.87,AU,1701114065
254,natal,-5.795,-35.2094,25.36,94,75,6.17,BR,1701114015
255,atyrau,47.1167,51.8833,5.01,93,75,9.0,KZ,1701113960
256,petropavlovsk-kamchatsky,53.0452,158.6483,-5.86,63,75,7.15,RU,1701114066
257,sarai,53.7458,41.0213,-1.94,87,99,8.9,RU,1701114066
258,boguchany,58.3814,97.4531,-22.27,99,6,0.58,RU,1701114066
259,ta`u,-14.2336,-169.5144,27.52,84,29,10.02,AS,1701114066
260,aasiaat,68.7098,-52.8699,-5.4,89,100,7.82,GL,1701114066
261,keflavik,64.0049,-22.5624,3.95,93,75,5.14,IS,1701113999
262,namibe,-15.1961,12.1522,23.67,75,100,3.45,AO,1701114066
263,tadine,-21.55,167.8833,23.03,68,98,4.12,NC,1701114066
264,lemvig,56.5486,8.3102,-0.45,79,100,9.64,DK,1701113887
265,morada nova,-5.1067,-38.3725,33.73,39,72,5.76,BR,1701114066
266,nantucket,41.2835,-70.0995,12.83,75,0,6.69,US,1701114066
267,dunda,-8.1167,34.25,24.17,60,100,0.38,TZ,1701114066
268,torghay,49.6339,63.4981,3.11,77,12,3.87,KZ,1701114066
269,markala,13.7021,-6.0659,29.51,17,10,4.36,ML,1701114066
270,carutapera,-1.195,-46.02,28.76,68,93,3.98,BR,1701114067
271,namdrik,5.5994,168.1028,28.3,80,100,8.0,MH,1701114067
272,sarkisla,39.3519,36.4098,-4.65,75,61,2.95,TR,1701114067
273,afif,23.9065,42.9172,23.13,36,7,0.85,SA,1701114067
274,argo,37.6333,22.7333,8.77,68,100,1.57,GR,1701114067
